"status","coordinate_basis","floor","equipment_category","label","drawing_x","drawing_y","confidence","location_count","evidence_row_count","evidence_drawing_count","source_count","source_drawing_count","source_drawings","source_paths","entity_types","layers","block_names","texts","handles","floor_bbox_ids","nearby_name","display_label","nearby_name_distance","nearby_name_layer","nearby_name_handle"
"confirmed","XR-PLAN","1F","BAT","BAT","160325.8920238582","-238459.9869070953","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8C8600","detail1_left | full","OF-1","BAT / OF-1","310.0","------00 Switch Gear_Number","8C856C"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8913813763","-234809.9869070953","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B2258 | 8C8562","detail1_left | full","CRB-1-1","BAT / CRB-1-1","341.6","------00 Switch Gear_Number","8C8563"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8920238582","-234809.9869070953","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8C85F7","detail1_left | full","CRB-1-1","BAT / CRB-1-1","341.6","------00 Switch Gear_Number","8C8563"
"confirmed","XR-PLAN","1F","BAT","BAT","131675.8929623683","-225009.9836947665","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D08B0","detail1_left | full","C1-5","BAT / C1-5","310.0","------00 Switch Gear_Number","8D08BB"
"confirmed","XR-PLAN","1F","BAT","BAT","133325.8929623683","-225009.9836947665","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B22ED | 8C85B1","detail1_left | full","C1-4","BAT / C1-4","310.0","------00 Switch Gear_Number","8C85B2"
"confirmed","XR-PLAN","1F","BAT","BAT","131675.8929623683","-221359.9836947665","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B22F0 | 8C85B4","detail1_left | full","CR-1-3","BAT / CR-1-3","323.5","------00 Switch Gear_Number","8C85B5"
"confirmed","XR-PLAN","1F","BAT","BAT","133325.8929623683","-221359.9836947665","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B22CF | 8C8593","detail1_left | full","C1-3","BAT / C1-3","310.0","------00 Switch Gear_Number","8C8594"
"confirmed","XR-PLAN","1F","BAT","BAT","131675.8929623683","-217709.9836947665","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B22E3 | 8C85A7","detail1_left | full","CR-1-2","BAT / CR-1-2","323.5","------00 Switch Gear_Number","8C85A8"
"confirmed","XR-PLAN","1F","BAT","BAT","133325.8929623683","-217709.9836947665","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B22CC | 8C8590","detail1_left | full","C1-2","BAT / C1-2","310.0","------00 Switch Gear_Number","8C8591"
"confirmed","XR-PLAN","1F","BAT","BAT","131675.8929623683","-214059.9836947665","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B22D9 | 8C859D","detail1_left | full","CR-1-1","BAT / CR-1-1","323.5","------00 Switch Gear_Number","8C859E"
"confirmed","XR-PLAN","1F","BAT","BAT","133325.8929623683","-214059.9836947665","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B22C9 | 8C858D","detail1_left | full","C1-1","BAT / C1-1","310.0","------00 Switch Gear_Number","8C858E"
"confirmed","XR-PLAN","1F","BATT","BATT","334175.5806559247","-316158.3967041605","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0EC9","detail1_right","OM-1","BATT / OM-1","1391.0","------00 Switch Gear_Number","8D0B6B"
