status,overlay_priority,overlay_group_id,drawing_name,facility_count,raw_path,copied_path,converted_path,basis_name,basis_path,insert_x,insert_y,xscale,yscale,rotation,is_identity_insert,review_status,review_note
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,T-D03_통합배선설비 평면도.dxf,1,data\raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-D03_통합배선설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-D03_통합배선설비 평면도.dwg,data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-D03_통합배선설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,S-C02_CCTV설비 평면도.dxf,1,data\raw\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-C02_CCTV설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-C02_CCTV설비 평면도.dwg,data\converted\dxf\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-C02_CCTV설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-L03_전력간선설비 평면도(IT).dxf,0,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-L03_전력간선설비 평면도(IT).dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-L03_전력간선설비 평면도(IT).dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-L03_전력간선설비 평면도(IT).dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-M04_전력간선설비 평면도(건물).dxf,0,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-M04_전력간선설비 평면도(건물).dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-M04_전력간선설비 평면도(건물).dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-M04_전력간선설비 평면도(건물).dxf,XR-PLAN,XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-P01_전열설비 평면도.dxf,0,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-P01_전열설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-P01_전열설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-P01_전열설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-Q03_전등설비 평면도.dxf,0,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-Q03_전등설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-Q03_전등설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-Q03_전등설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-R05_조명제어설비 평면도.dxf,0,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-R05_조명제어설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-R05_조명제어설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-R05_조명제어설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-M03_전력간선설비 평면도(건물).dxf,0,data\raw\04_설계도서\02_전기\전기\01_도면\E-M03_전력간선설비 평면도(건물).dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\전기\01_도면\E-M03_전력간선설비 평면도(건물).dwg,data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-M03_전력간선설비 평면도(건물).dxf,XR-PLAN,XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-P01_전열설비 평면도.dxf,0,data\raw\04_설계도서\02_전기\전기\01_도면\E-P01_전열설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\전기\01_도면\E-P01_전열설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-P01_전열설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-Q03_전등설비 평면도.dxf,0,data\raw\04_설계도서\02_전기\전기\01_도면\E-Q03_전등설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\전기\01_도면\E-Q03_전등설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-Q03_전등설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
