overlay_group_id,overlay_priority,basis_name,basis_file,basis_path,floor_hint,insert_x,insert_y,xscale,yscale,rotation,is_identity_insert,drawing_count,facility_count,sample_drawings,review_note
x-plan_4_-454577.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_4층,x-plan_4층.dwg,..\XREF\x-plan_4층.dwg,4F,-454577.325816,-85956.9449313,1,1,0,False,4,184,M13-101~106 장비기초 평면도 (전산센터A).dxf | M22-101~107 공조배관 평면도 (전산센터A).dxf | M23-101~107 냉매배관 평면도 (전산센터A).dxf | M24-101~107 냉매제어 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_5_-580727.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_5층,x-plan_5층.dwg,..\XREF\x-plan_5층.dwg,5F,-580727.325816,-85956.9449313,1,1,0,False,4,184,M13-101~106 장비기초 평면도 (전산센터A).dxf | M22-101~107 공조배관 평면도 (전산센터A).dxf | M23-101~107 냉매배관 평면도 (전산센터A).dxf | M24-101~107 냉매제어 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_6_-706877.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_6층,x-plan_6층.dwg,..\XREF\x-plan_6층.dwg,6F,-706877.325816,-85956.9449313,1,1,0,False,4,184,M13-101~106 장비기초 평면도 (전산센터A).dxf | M22-101~107 공조배관 평면도 (전산센터A).dxf | M23-101~107 냉매배관 평면도 (전산센터A).dxf | M24-101~107 냉매제어 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_pit_50022.6742213_-85956.9455738_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_PIT층,x-plan_PIT층.dwg,..\XREF\x-plan_PIT층.dwg,PIT,50022.6742213,-85956.9455738,1,1,0,False,1,184,M32-101~108 공조덕트 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan__-707177.325816_-85656.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_옥탑층,x-plan_옥탑층.dwg,..\XREF\x-plan_옥탑층.dwg,ROOF,-707177.325816,-85656.9449313,1,1,0,False,1,184,M32-101~108 공조덕트 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan__-959177.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_지붕층,x-plan_지붕층.dwg,..\XREF\x-plan_지붕층.dwg,ROOF,-959177.325816,-85956.9449313,1,1,0,False,3,170,M22-101~107 공조배관 평면도 (전산센터A).dxf | M23-101~107 냉매배관 평면도 (전산센터A).dxf | M24-101~107 냉매제어 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_1_50022.6741841_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_1층,x-plan_1층.dwg,..\XREF\x-plan_1층.dwg,1F,50022.6741841,-85956.9449313,1,1,0,False,1,148,M42-101~107 위생배관 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_3_-328427.325816_-75956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_3층,x-plan_3층.dwg,..\XREF\x-plan_3층.dwg,3F,-328427.325816,-75956.9449313,1,1,0,False,1,148,M22-101~107 공조배관 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_pit_176172.674221_-85956.9455738_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_PIT층,x-plan_PIT층.dwg,..\XREF\x-plan_PIT층.dwg,PIT,176172.674221,-85956.9455738,1,1,0,False,1,148,M42-101~107 위생배관 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan__-706877.325816_-85956.9442889_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_옥탑층,x-plan_옥탑층.dwg,..\XREF\x-plan_옥탑층.dwg,ROOF,-706877.325816,-85956.9442889,1,1,0,False,1,148,M42-101~107 위생배관 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_0_0_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan,x-plan.dwg,..\XREF\x-plan.dwg,,0,0,1,1,0,True,2,143,M61-103~108 누수누유감지 평면도 (전산센터A).dxf | M82-101~105 지열 평면도.dxf,Can be overlaid directly on basis coordinates.
x-plan_1_-91501.8146642_-63869.9460631_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_1층,x-plan_1층.dwg,..\XREF\x-plan_1층.dwg,1F,-91501.8146642,-63869.9460631,1,1,0,False,2,24,M12-101~102 지상1층 기계실 확대배관 평면도 (운영센터).dxf | M130-101 지상1층 기계실 수평배관 방지 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_3_-328427.325816_-79956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_3층,x-plan_3층.dwg,..\XREF\x-plan_3층.dwg,3F,-328427.325816,-79956.9449313,1,1,0,False,2,22,M23-101~107 냉매배관 평면도 (전산센터A).dxf | M24-101~107 냉매제어 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_0_oa_355053.574124_113080.016305_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층$0$OA,Acad:XRef,Acad:XRef,2F,355053.574124,113080.016305,1,1,0,False,5,21,M33-101~102 확대 냉난방덕트 평면도 (운영센터).dxf | M42-108~111 위생배관 평면도 (운영센터).dxf | M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf | M58-115~117 FDMS 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_0_oa_365853.574124_113080.016305_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층$0$OA,Acad:XRef,Acad:XRef,2F,365853.574124,113080.016305,1,1,0,False,5,21,M33-101~102 확대 냉난방덕트 평면도 (운영센터).dxf | M42-108~111 위생배관 평면도 (운영센터).dxf | M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf | M58-115~117 FDMS 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_0_oa_376653.574124_113080.016305_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층$0$OA,Acad:XRef,Acad:XRef,2F,376653.574124,113080.016305,1,1,0,False,5,21,M33-101~102 확대 냉난방덕트 평면도 (운영센터).dxf | M42-108~111 위생배관 평면도 (운영센터).dxf | M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf | M58-115~117 FDMS 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_0_oa_387453.574124_113080.016305_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층$0$OA,Acad:XRef,Acad:XRef,2F,387453.574124,113080.016305,1,1,0,False,5,21,M33-101~102 확대 냉난방덕트 평면도 (운영센터).dxf | M42-108~111 위생배관 평면도 (운영센터).dxf | M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf | M58-115~117 FDMS 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_0_oa_398253.574124_113080.016305_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층$0$OA,Acad:XRef,Acad:XRef,2F,398253.574124,113080.016305,1,1,0,False,5,21,M33-101~102 확대 냉난방덕트 평면도 (운영센터).dxf | M42-108~111 위생배관 평면도 (운영센터).dxf | M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf | M58-115~117 FDMS 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
